lon,lat
136.906398,35.1814464
137.0840296,35.2239579
137.0021069,34.9892245
137.1562491,35.0823947
136.90253,35.0228426
136.8647553,34.9965332
140.1023643,39.7186135
141.4883986,40.5122839
141.3689761,40.6831337
140.7473647,40.822072
139.92486,35.3812265
140.2880265,35.4285439
140.3187806,35.7766076
140.1156648,35.4978377
140.0282255,35.8641227
140.6464692,35.7204338
132.7655752,33.8391574
133.5491949,33.9807605
132.5445085,33.5061936
132.7037292,33.7574293
132.5605575,33.2233404
135.7466439,35.4955931
134.9313762,34.853193
136.1844742,35.9565532
135.482998,34.573262
130.4017155,33.5903547
130.4459852,33.0302622
130.8752161,33.8834093
130.5239064,33.5127991
140.4675514,37.7502986
140.5629082,37.8191383
136.7606537,35.4232984
137.0156644,35.4402422
140.3396017,38.2554388
137.2441002,35.8058817
139.0634281,36.3894816
132.4552927,34.3852029
132.5654407,34.2486458
141.3543763,43.0620958
140.7288103,41.7687933
140.9946621,43.1907173
142.364819,43.7706355
140.9737991,42.3152306
143.1961031,42.9238989
141.8537848,43.3328813
141.5362468,43.1037445
143.3545032,44.3564842
141.650876,42.8209577
141.5778154,42.8825618
141.5635426,42.9856296
144.3813556,42.9848542
142.4631673,44.355938
135.1955112,34.690083
135.3415643,34.7375965
135.4009473,34.7843061
134.9901968,34.7969439
134.7798555,34.2944796
134.813111,34.3257122
140.0766423,36.0834857
136.6562051,36.5613254
141.1544838,39.702053
134.046574,34.3427879
130.5571158,31.5965535
130.6330314,31.2527702
139.6380256,35.4437078
139.6722005,35.2813412
139.70304,35.5308224
139.3494762,35.3351103
139.1521538,35.2645639
139.4036386,35.3338429
139.4478945,35.4581818
139.3950882,35.5123161
133.5292788,33.5595867
130.7078911,32.8031004
135.7680294,35.0116363
136.7093359,34.4875144
140.8693558,38.268215
131.4202411,31.9076736
138.1947709,36.6485829
129.877667,32.7502856
129.7151101,33.1799153
135.8050002,34.6850869
139.0230946,37.9025518
131.609272,33.2395578
131.3495446,33.5319719
133.9195019,34.6551456
127.6791568,26.2123124
127.6809317,26.2124013
135.5021651,34.6937378
135.4697387,34.7812658
135.4284439,34.8217051
140.4467935,36.3418112
130.3008576,33.263482
139.3999588,36.0421262
139.565369,35.7935109
139.6488487,35.8569991
139.3886446,36.1473097
135.8546074,35.0178929
138.3830845,34.9771201
137.7261258,34.7108344
137.8515133,34.7179035
139.8835651,36.565725
134.5548438,34.0702703
134.6087858,34.1725623
134.2377356,35.5038906
137.2136768,36.6959518
137.3411906,36.7643778
136.8686222,36.6755751
135.1675086,34.2259867
130.941459,33.9578307
131.4706493,34.1859563
132.2348303,34.158853
138.5684486,35.6641575
146.9135418,-36.0737293
151.6661993,-30.5015616
153.5629067,-28.8379654
143.5615815,-34.6367064
150.1794707,-35.7143871
149.5775008,-33.4192822
149.8416404,-36.6889097
145.9381941,-30.090661
150.418056,-34.479167
141.4539396,-31.9539135
153.601977,-28.6473671
150.814167,-34.065
145.8401709,-31.4949304
153.1093922,-30.298612
149.1297882,-36.2268655
149.219061,-31.2733434
148.025,-34.641667
146.383333,-35.983333
148.6778504,-33.8281444
144.9565781,-35.5282408
148.6329645,-32.2315018
148.0066888,-33.379879
152.511667,-32.180556
151.7361891,-29.7518376
151.341667,-33.426667
149.7277447,-34.7479181
152.9336547,-29.6816894
146.0455313,-34.2800883
148.102061,-35.0566492
150.2368919,-30.9922968
144.85,-34.5
151.1102815,-29.7627514
147.5805276,-34.8651781
150.311944,-33.7125
152.8481977,-31.0604769
150.8443706,-34.6738221
151.483333,-32.816667
153.2882876,-28.8093154
150.1570173,-33.4827345
151.5492182,-32.7383988
149.833889,-29.465833
150.0928052,-35.9073095
153.3827556,-28.3322568
150.9049638,-32.2848467
152.9978834,-30.6419702
149.7812403,-30.3324062
146.557684,-34.7379824
151.781667,-32.928333
150.6,-34.883333
149.1,-33.283333
148.1747161,-33.1372943
151.001111,-33.815
150.7,-33.75
152.9,-31.433333
149.230896,-35.3530392
151.7675123,-32.7544083
150.75,-33.6
150.859482,-32.0546144
151.1788155,-32.5694741
151.2092955,-33.8688197
150.9320334,-31.092748
152.4444453,-31.8894897
152.0189859,-29.0575678
148.2325033,-35.3207508
150.4613249,-35.3572426
147.3598323,-35.1081689
152.7325131,-31.4721352
148.9492902,-32.5520391
147.2043777,-33.9167698
150.817222,-33.615
150.8930607,-34.4278121
151.418,-33.282
148.9143182,-34.8261106
148.3,-34.3
147.4063861,-19.5685154
153.0018911,-27.9881559
148.8826566,-23.5791723
148.2262176,-20.0014803
153.0251235,-27.4697707
153.053,-26.685
152.3509714,-24.8669736
152.966667,-27.066667
145.7780548,-16.9185514
146.2453597,-26.4020616
146.2601362,-20.0769637
145.2470981,-15.4758164
151.2659802,-27.1944226
148.164573,-23.527291
152.2799793,-27.5635802
151.2488592,-23.8426494
153.4,-28.016667
150.2982881,-28.5387064
152.6657456,-26.1833529
152.7676633,-25.2881539
146.1624851,-18.6494046
146.0285223,-17.5226261
151.8399968,-26.5309478
149.1821469,-21.1424956
145.4388546,-17.0019368
153.1,-26.65
152.6970636,-25.5232627
148.057916,-22.002777
139.4927085,-20.7255748
150.3965941,-23.6436179
149.9746669,-24.5729872
150.510016,-23.3790772
148.7837619,-26.5694477
151.9375602,-28.6599726
151.9506696,-27.5598212
146.8169483,-19.2589635
152.0281701,-28.2157285
141.8469901,-12.6492936
143.0381,-22.3913
150.733333,-23.133333
146.8235907,-41.1933695
145.9052168,-41.0528583
146.3451775,-41.1770585
147.3271949,-42.8821377
147.308333,-42.976944
147.1440875,-41.4332215
147.0593848,-42.7828332
145.5540562,-42.0811804
145.532143,-41.7801602
145.1206002,-40.8578071
146.1872071,-41.1702632
145.716667,-41
142.9316441,-37.2846464
144.4463206,-37.6763789
147.616667,-37.833333
143.8502556,-37.5621587
146.6877247,-36.3533015
145.963353,-36.5462177
144.2793906,-36.7570157
144.2185006,-37.058136
143.5854622,-38.3410186
144.7448007,-36.1459548
144.3617186,-38.1499181
142.0178976,-37.7455702
145.513889,-37.656111
142.1962316,-36.7188618
143.9261931,-35.7409643
145.0468064,-36.3139409
144.45,-37.233333
147.995821,-37.8511185
143.7446068,-37.0473301
